Flow ID,Flow status,Flow date,Amount (USD),Source Organization,Source Location,Destination Organization,Destination Location
123759,Paid Contribution,22/12/2014,515996,"Switzerland, Government of",Switzerland,United Nations Children's Fund,Sierra Leone
125657,Paid Contribution,22/12/2014,1000000,African Development Bank,,World Food Programme,
123750,Commitment,22/12/2014,6895619,"Sweden, Government of",Sweden,Swedish Civil Contingencies Agency (MSB),Liberia
124319,Paid Contribution,23/01/2015,248416,UNICEF National Committee/Sweden,,United Nations Children's Fund,
130187,Paid Contribution,23/01/2015,72046,"Sweden, Government of",Sweden,World Food Programme,
115136,Paid Contribution,23/04/2014,135738,Central Emergency Response Fund,,United Nations Population Fund,Guinea
119969,Commitment,23/07/2014,275103,"Sweden, Government of",Sweden,Plan International,Guinea
120333,Commitment,23/09/2014,,Private (individuals & organizations),,"Liberia, Government of",Liberia
119550,Paid Contribution,23/09/2014,2999515,Central Emergency Response Fund,,World Food Programme,Sierra Leone
120013,Paid Contribution,23/09/2014,1003091,World Bank,,United Nations Children's Fund,Sierra Leone
120014,Paid Contribution,23/09/2014,8941626,World Bank,,United Nations Children's Fund,Sierra Leone
120015,Paid Contribution,23/09/2014,6000000,World Bank,,World Food Programme,Sierra Leone
120081,Paid Contribution,23/09/2014,56880,Mercury International,,"Sierra Leone, Government of",Sierra Leone
120181,Paid Contribution,23/09/2014,,Private (individuals & organizations),,"Sierra Leone, Government of",Sierra Leone
120182,Paid Contribution,23/09/2014,,TOTAL,,"Nigeria, Government of",Nigeria
120332,Paid Contribution,23/09/2014,30000,Private (individuals & organizations),,International Federation of Red Cross and Red Crescent Societies,Liberia
120340,Paid Contribution,23/09/2014,122100,Private (individuals & organizations),,"Sierra Leone, Government of",Sierra Leone
120672,Paid Contribution,23/09/2014,100000,Qatar Charity,,,
120581,Pledge,23/10/2014,140000,Private (individuals & organizations),,Liberian Red Cross Society,Liberia
120759,Paid Contribution,23/10/2014,247000,Cisco Foundation,,World Health Organization,
120760,Paid Contribution,23/10/2014,30000,Private (individuals & organizations),,World Health Organization,
121158,Paid Contribution,23/10/2014,800000,Paul G. Allen,,United Nations Children's Fund,
121159,Paid Contribution,23/10/2014,1100000,US Fund for UNICEF,,United Nations Children's Fund,
121160,Paid Contribution,23/10/2014,500000,US Fund for UNICEF,,United Nations Children's Fund,
121552,Paid Contribution,23/10/2014,7500000,Paul G. Allen,,Private (individuals & organizations),Liberia
152842,Pledge,23/10/2014,12851,"Sweden, Government of",Sweden,Red Cross Organizations | UN Agencies | NGOs,
152848,Pledge,23/10/2014,44792519,Paul G. Allen,,,
134824,Commitment,23/10/2015,2244669,"Italy, Government of",Italy,NGOs (details not yet provided),Sierra Leone
134966,Commitment,23/10/2015,370617,"United States of America, Government of",United States,Famine Early Warning Sytem,
136851,Commitment,23/10/2015,561167,"Spain, Government of",Spain,World Food Programme,Sierra Leone
123391,Commitment,23/12/2014,1804072,Bill and Melinda Gates Foundation,,"Senegal, Government of",Senegal
123627,Commitment,23/12/2014,4230439,European Commission's Humanitarian Aid and Civil Protection Department,,French Red Cross,Guinea
123341,Paid Contribution,23/12/2014,7623888,European Commission's Humanitarian Aid and Civil Protection Department,,World Food Programme,Guinea
123675,Paid Contribution,23/12/2014,9500000,World Bank,,United Nations Children's Fund,Sierra Leone
123710,Paid Contribution,23/12/2014,30293,"Portugal, Government of",Portugal,Ebola Response Multi-Partner Trust Fund,
125642,Paid Contribution,23/12/2014,73276,"United Kingdom, Government of",United Kingdom,World Food Programme,
125684,Paid Contribution,23/12/2014,500000,"Russian Federation, Government of",Russian Federation,World Food Programme,
124971,Commitment,24/02/2015,81638,"Sweden, Government of",Sweden,Swedish Civil Contingencies Agency (MSB),Liberia
139687,Pledge,24/03/2016,3300000,"United States of America, Government of",United States,World Food Programme,Côte d'Ivoire
139688,Pledge,24/03/2016,272000,"United States of America, Government of",United States,World Food Programme,Sierra Leone
120030,Commitment,24/04/2014,206327,"France, Government of",France,French Red Cross,Guinea
115181,Paid Contribution,24/04/2014,294633,Central Emergency Response Fund,,World Food Programme,Guinea
144423,Commitment,24/06/2016,3195429,"United States of America, Government of",United States,World Food Programme,Sierra Leone
119449,Paid Contribution,24/07/2014,687758,"Sweden, Government of",Sweden,Médecins sans Frontières,Sierra Leone
119930,Commitment,24/09/2014,2000000,General Electric,,Partners in Health,
120336,Commitment,24/09/2014,,Private (individuals & organizations),,,Sierra Leone
119610,Paid Contribution,24/09/2014,554766,Central Emergency Response Fund,,World Health Organization,Guinea
119612,Paid Contribution,24/09/2014,2612224,Central Emergency Response Fund,,World Food Programme,Guinea
119688,Paid Contribution,24/09/2014,50000,Cigna Foundation,,,
120337,Paid Contribution,24/09/2014,22883,Private (individuals & organizations),,"Sierra Leone, Government of",Sierra Leone
121837,Paid Contribution,24/09/2014,712542,Democratic Republic of the Congo Humanitarian Fund,"Congo, The Democratic Republic of the",United Nations Children's Fund,"Congo, The Democratic Republic of the"
120379,Commitment,24/10/2014,100000,Private (individuals & organizations),,,Guinea
120442,Pledge,24/10/2014,,"China, Government of",China,,
120749,Commitment,24/10/2014,317662,"Luxembourg, Government of",Luxembourg,United Nations High Commissioner for Refugees,
120282,Paid Contribution,24/10/2014,6000000,"China, Government of",China,Ebola Response Multi-Partner Trust Fund,
120799,Paid Contribution,24/10/2014,248940,"Luxembourg, Government of",Luxembourg,Ebola Response Multi-Partner Trust Fund,
121154,Paid Contribution,24/10/2014,85339,UNICEF National Committee/Denmark,,United Nations Children's Fund,
152843,Pledge,24/10/2014,,"United Kingdom, Government of",United Kingdom,,Sierra Leone
122134,Commitment,24/11/2014,870113,"Germany, Government of",Germany,Plan International,Mali
122944,Commitment,24/11/2014,1359065,"Sweden, Government of",Sweden,Swedish Red Cross,
122089,Paid Contribution,24/11/2014,4799257,"Brazil, Government of",Brazil,World Health Organization,
122090,Paid Contribution,24/11/2014,2848676,"Brazil, Government of",Brazil,World Food Programme,
122091,Paid Contribution,24/11/2014,602845,"Brazil, Government of",Brazil,Ebola Response Multi-Partner Trust Fund,
125645,Paid Contribution,24/11/2014,23877,"Sweden, Government of",Sweden,World Food Programme,
125647,Paid Contribution,24/11/2014,23877,"Sweden, Government of",Sweden,World Food Programme,
125648,Paid Contribution,24/11/2014,23877,"Sweden, Government of",Sweden,World Food Programme,
125672,Paid Contribution,24/11/2014,249066,Private (individuals & organizations),,World Food Programme,
123337,Commitment,24/12/2014,3502025,"United States of America, Government of",United States,ChildFund International,Liberia
123338,Commitment,24/12/2014,4702901,"United States of America, Government of",United States,Medical Teams International,Liberia
123339,Commitment,24/12/2014,4702667,"United States of America, Government of",United States,GOAL,Liberia
123340,Commitment,24/12/2014,2472525,"United States of America, Government of",United States,World Vision International,Sierra Leone
124611,Paid Contribution,24/12/2014,200000,UNICEF National Committees,,United Nations Children's Fund,Guinea
123748,Commitment,24/12/2014,938984,European Commission's Humanitarian Aid and Civil Protection Department,,International Rescue Committee,Côte d'Ivoire
124967,Commitment,25/02/2015,4988272,"United States of America, Government of",United States,Private (individuals & organizations),Liberia
124968,Commitment,25/02/2015,8030564,"United States of America, Government of",United States,Project Concern International,Liberia
125035,Commitment,25/02/2015,1689148,"Sweden, Government of",Sweden,Swedish Civil Contingencies Agency (MSB),Liberia
128673,Paid Contribution,25/03/2015,470286,"Japan, Government of",Japan,World Food Programme,
128769,Paid Contribution,25/03/2015,742968,UNICEF National Committee/Korea (Republic of),,United Nations Children's Fund,Liberia
126377,Commitment,25/03/2015,30011,"United States of America, Government of",United States,Overseas Development Institute,
136622,Commitment,25/03/2015,29021,"Estonia, Government of",Estonia,"Sierra Leone, Government of",Sierra Leone
115239,Paid Contribution,25/04/2014,505436,Central Emergency Response Fund,,United Nations Children's Fund,Guinea
116854,Paid Contribution,25/06/2014,103608,Central Emergency Response Fund,,World Health Organization,Sierra Leone
119354,Commitment,25/08/2014,1000000,Robert Wood Johnson Foundation,,Centers for Disease Control Foundation,
119960,Commitment,25/08/2014,60160,"Spain, Government of",Spain,Save the Children,Liberia
119961,Commitment,25/08/2014,299596,"Sweden, Government of",Sweden,International Rescue Committee,Liberia
120588,Commitment,25/08/2014,9183,"Canada, Government of",Canada,International Federation of Red Cross and Red Crescent Societies,Cameroon
119549,Paid Contribution,25/08/2014,153586,UNICEF National Committee/Spain,,United Nations Children's Fund,
119645,Commitment,25/09/2014,995549,Central Emergency Response Fund,,United Nations Children's Fund,Guinea
119652,Pledge,25/09/2014,2000000,"India, Government of",India,,
119654,Pledge,25/09/2014,1000000,"Timor Leste, Government of",Timor-Leste,,
119655,Pledge,25/09/2014,1000000,"Namibia, Government of",Namibia,,
119958,Commitment,25/09/2014,1317523,European Commission's Humanitarian Aid and Civil Protection Department,,Médecins sans Frontières - Switzerland,Liberia
120283,Pledge,25/09/2014,,"South Africa, Government of",South Africa,,
120284,Pledge,25/09/2014,,"Senegal, Government of",Senegal,,
120285,Pledge,25/09/2014,3500000,"Nigeria, Government of",Nigeria,,
120286,Pledge,25/09/2014,,"Cote d'Ivoire, Government of",Côte d'Ivoire,,
120330,Commitment,25/09/2014,350000,ArcelorMittal Foundation,,British Red Cross,Liberia
120331,Commitment,25/09/2014,,ArcelorMittal Foundation,,,Liberia
119653,Paid Contribution,25/09/2014,10000000,"India, Government of",India,Ebola Response Multi-Partner Trust Fund,
119687,Paid Contribution,25/09/2014,700000,William and Flora Hewlett Foundation,,Population Services International,
119689,Paid Contribution,25/09/2014,1000000,Hospital Corporation of America,,Centers for Disease Control Foundation,
119975,Paid Contribution,25/09/2014,133689,"Luxembourg, Government of",Luxembourg,World Health Organization,
120009,Paid Contribution,25/09/2014,2294110,World Bank,,World Health Organization,Guinea
120183,Paid Contribution,25/09/2014,,Private (individuals & organizations),,Americares,
120193,Paid Contribution,25/09/2014,30740598,"China, Government of",China,,
120322,Paid Contribution,25/09/2014,310000,"Japan, Government of",Japan,,Guinea
152826,Commitment,25/09/2014,5270092,European Commission's Humanitarian Aid and Civil Protection Department,,UN Agencies | NGOs | Red Cross Organizations,
152829,Pledge,25/09/2014,,"Canada, Government of",Canada,UN Agencies | Red Cross Organizations | NGOs,
152830,Pledge,25/09/2014,100572090,World Bank,,,
152834,Pledge,25/09/2014,3940127,"United Kingdom, Government of",United Kingdom,NGOs | Red Cross Organizations | UN Agencies,
152839,Commitment,25/09/2014,36890646,European Commission Directorate General for Development,,NGOs | UN Agencies | Red Cross Organizations,
152840,Commitment,25/09/2014,10540184,European Commission Directorate General for Development,,Red Cross Organizations | UN Agencies | NGOs,
152841,Commitment,25/09/2014,6587615,European Commission Directorate General for Development,,African Union,
121874,Paid Contribution,25/10/2014,38462,"Singapore, Government of",Singapore,World Health Organization,
122182,Commitment,25/11/2014,828619,"Germany, Government of",Germany,SOS Kinderdorf,Sierra Leone
122184,Commitment,25/11/2014,3783102,"Italy, Government of",Italy,"Sierra Leone, Government of",Sierra Leone
122933,Commitment,25/11/2014,56401,"Sweden, Government of",Sweden,Swedish Civil Contingencies Agency (MSB),Sierra Leone
123149,Commitment,25/11/2014,57760,"Sweden, Government of",Sweden,Swedish Civil Contingencies Agency (MSB),Sierra Leone
122947,Paid Contribution,25/11/2014,13217001,"Sweden, Government of",Sweden,Ebola Response Multi-Partner Trust Fund,
123283,Paid Contribution,25/11/2014,249066,UNICEF National Committee/Germany,,United Nations Children's Fund,
127206,Paid Contribution,26/01/2015,1000000,"Bahrain, Government of",Bahrain,Ebola Response Multi-Partner Trust Fund,
130195,Paid Contribution,26/01/2015,46951,"Sweden, Government of",Sweden,World Food Programme,
